"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","abund_value","abund_unit","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"1196168","occ","","","154722","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","50316","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-80.400002","25.700001","US","Florida","Dade","unpublished field data","1","small collection","Perrine 7.5' Quadrangle, NE1/4 of NW1/4 of section 35, T.55S., R.40E."
"1196557","occ","","","74292","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","50339","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-80.599998","28.083332","US","Florida","Brevard","based on nearby landmark","minutes","small collection","""on property owned by"" Singleton ""at Melbourne"" (basis of coordinate)"
"1196558","occ","","","74292","cf. Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","50339","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-80.599998","28.083332","US","Florida","Brevard","based on nearby landmark","minutes","small collection","""on property owned by"" Singleton ""at Melbourne"" (basis of coordinate)"
"1196583","occ","","","154773","Parelephas cf. columbi","species","49983","recombined as","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","3131","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-82.788002","29.950001","US","Florida","Columbia","estimated from map","2","","T.6S., R.15E. in Hildreth 7.5' Quadrangle"
"1196906","occ","","","154804","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","50371","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-81.900002","27.170000","US","Florida","De Soto","unpublished field data","2","small collection","Nocatee Quadrangle, T.38S., R.24E., NW1/4 of SE1/4 of Section 15; about 1 mile northwest of Nocatee; Note that in Hulbert et al. (2009) the locality is mistakenly stated to be in section 21, and its name is incorrectly given as Peace River 5A"
"1197872","occ","","","154921","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","50430","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-80.166664","26.700001","US","Florida","Palm Beach","stated in text","minutes","",""
"1201165","occ","","","155393","Elephas primigenius","species","46027","recombined as","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","50711","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-122.281998","40.784000","US","California","Shasta","estimated from map","3","small collection","Section 23, T. 34 N., R. 4 W., O'Brien 7.5' Quadrange.  North of Potter Creek"
"1208222","occ","","","156789","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","51404","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-97.427498","28.126944","US","Texas","San Patricio","estimated from map","seconds","","The locality is described as being about 1 mile north of the bridge on which the St. Louis & Brownsville Railroad crosses the Aransas. It is also about 20 miles southwest of Refugio. Nearer is a town named Sinton, and for convenience the collection will be spoken of as from Sinton."
"1243012","occ","","","163820","Elephas primigenius","species","46027","recombined as","Mammuthus primigenius","species","46027","Late Pliocene","","3.6","2.588","53461","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-99.140083","19.910633","MX","México","","based on nearby landmark","6","outcrop","Tequixquiac, N edge of Valley of México, N of the city of México and town of Zimpango (Zumpango), E of Nochistongo forgo"
"1276231","occ","","","169385","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","55350","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-162.130005","66.654999","US","Alaska","","estimated from map","3","outcrop","Coastal bluffs of the Baldwin Peninsula, 35 km southeast of Kotzebue and about 10 km north of the Arctic Circle."
"1315766","occ","","","176608","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","58186","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-88.030281","42.505280","US","Wisconsin","Kenosha","estimated from map","seconds","",""
"1315767","occ","","","176609","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","58186","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-88.030281","42.505280","US","Wisconsin","Kenosha","estimated from map","seconds","",""
"1315768","occ","","","176610","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","58186","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-88.030281","42.505280","US","Wisconsin","Kenosha","estimated from map","seconds","",""
"1315784","occ","","","176611","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","58186","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-88.030281","42.505280","US","Wisconsin","Kenosha","estimated from map","seconds","",""
"1317107","occ","","","84901","Mammuthus exilis","species","47874","","Mammuthus exilis","species","46019","Rancholabrean","","0.3","0.012","58344","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-120.193054","34.005554","US","California","Santa Barbara","estimated from map","seconds","","Santa Rosa Island, NW coast, 300-500 yards inland and about 20 yards back from the edge of the Garanon wave-cut platform"
"1353013","occ","","","183454","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","61266","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","individuals","-121.937225","37.383610","US","California","Santa Clara","unpublished field data","seconds","small collection","""bottom of the Guadalupe River just downstream from the San Jose International Airport and the West Trimble Road overpass, on land managed by the Santa Clara Valley Water District\r\n(SCVWD)"""
"1353033","occ","","","183460","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Rancholabrean","","0.3","0.012","61266","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-122.013885","37.421112","US","California","Santa Clara","estimated from map","seconds","small collection",""
